-3.612019,-3.454062,5.000061,-3.457337,3.621605,-0.006731,0.917215,-0.236990,0.042363,-0.318018,-0.076929,0.498518,0.255435,10.825700,-0.056575,0.504849,0.248716
-3.780389,-3.268741,4.999746,-3.275919,3.789590,-0.005832,0.918202,-0.234244,0.055866,-0.315106,-0.055993,0.502449,0.248625,10.831724,-0.034670,0.504780,0.241755
-3.939458,-3.075267,4.999482,-3.085391,3.947705,-0.004692,0.919076,-0.230953,0.069196,-0.312330,-0.034041,0.502619,0.241686,10.836967,-0.011669,0.501349,0.234700
-4.088783,-2.874141,4.999278,-2.886212,4.095639,-0.003456,0.919849,-0.227125,0.082261,-0.309684,-0.011043,0.499472,0.234657,10.841338,0.012373,0.495072,0.227601
-4.227944,-2.665878,4.999136,-2.678927,4.233121,-0.002247,0.920534,-0.222763,0.094982,-0.307164,0.012951,0.493500,0.227587,10.844777,0.037329,0.486481,0.220508
-4.356551,-2.451007,4.999051,-2.464146,4.359905,-0.001160,0.921149,-0.217869,0.107293,-0.304768,0.037822,0.485217,0.220523,10.847267,0.063020,0.476091,0.213469
-4.474245,-2.230069,4.999017,-2.242536,4.475771,-0.000261,0.921708,-0.212444,0.119142,-0.302497,0.063397,0.475120,0.213511,10.848821,0.089224,0.464374,0.206526
-4.580702,-2.003615,4.999022,-2.014798,4.580516,0.000416,0.922226,-0.206490,0.130489,-0.300354,0.089464,0.463665,0.206589,10.849488,0.115691,0.451739,0.199708
-4.675635,-1.772206,4.999055,-1.781658,4.673947,0.000863,0.922713,-0.200009,0.141305,-0.298343,0.115783,0.451254,0.199787,10.849345,0.142164,0.438518,0.193038
-4.758790,-1.536412,4.999104,-1.543854,4.755883,0.001094,0.923178,-0.193008,0.151575,-0.296469,0.142104,0.438211,0.193126,10.848491,0.168384,0.424965,0.186523
-4.829955,-1.296812,4.999161,-1.302122,4.826153,0.001141,0.923627,-0.185494,0.161289,-0.294736,0.168175,0.424787,0.186614,10.847044,0.194107,0.411246,0.180163
-4.888949,-1.053994,4.999216,-1.057190,4.884595,0.001044,0.924062,-0.177481,0.170445,-0.293148,0.193759,0.411152,0.180251,10.845132,0.219111,0.397453,0.173946
-4.935632,-0.808552,4.999264,-0.809771,4.931056,0.000852,0.924484,-0.168985,0.179046,-0.291709,0.218637,0.397399,0.174026,10.842890,0.243199,0.383609,0.167855
-4.969897,-0.561090,4.999300,-0.560561,4.965403,0.000609,0.924889,-0.160027,0.187098,-0.290420,0.242617,0.383558,0.167924,10.840448,0.266209,0.369682,0.161867
-4.991670,-0.312216,4.999324,-0.310232,4.987516,0.000357,0.925274,-0.150633,0.194606,-0.289282,0.265539,0.369603,0.161921,10.837930,0.288015,0.355595,0.155955
-5.000912,-0.062544,4.999337,-0.059436,4.997302,0.000130,0.925633,-0.140830,0.201577,-0.288296,0.287277,0.355467,0.155994,10.835449,0.308522,0.341245,0.150094
-4.997616,0.187307,4.999338,0.191195,4.994690,-0.000049,0.925961,-0.130651,0.208016,-0.287461,0.307736,0.341055,0.150119,10.833099,0.327672,0.326517,0.144261
-4.981805,0.436717,4.999333,0.441049,4.979643,-0.000165,0.926252,-0.120130,0.213925,-0.286774,0.326858,0.326259,0.144273,10.830959,0.345436,0.311291,0.138436
-4.953534,0.685064,4.999323,0.689529,4.952156,-0.000214,0.926502,-0.109303,0.219306,-0.286235,0.344611,0.310969,0.138437,10.829084,0.361814,0.295463,0.132602
